"Noun" "Region" "Condition" "Surprisal"
"190" "myth" "V1_0" "SC_in" 11.0945794
"191" "myth" "V1_0" "SCRC_co" 10.512362725
"192" "myth" "V1_0" "SCRC_in" 10.477127625
"193" "news" "V1_0" "NoSC_co" 9.944801
"194" "news" "V1_0" "NoSC_in" 9.944801
"195" "news" "V1_0" "SC_co" 10.425478875
"196" "news" "V1_0" "SC_in" 10.589985875
"197" "news" "V1_0" "SCRC_co" 10.037316475
"198" "news" "V1_0" "SCRC_in" 10.04838555
"199" "notion" "V1_0" "NoSC_co" 12.570313525
"200" "notion" "V1_0" "NoSC_in" 12.570313525
"201" "notion" "V1_0" "SC_co" 9.883384575
"202" "notion" "V1_0" "SC_in" 9.931658275
"203" "notion" "V1_0" "SCRC_co" 9.997631075
"204" "notion" "V1_0" "SCRC_in" 10.1164587
"205" "observation" "V1_0" "NoSC_co" 10.368124875
"206" "observation" "V1_0" "NoSC_in" 10.368124875
"207" "observation" "V1_0" "SC_co" 12.079754175
"208" "observation" "V1_0" "SC_in" 12.086663
"209" "observation" "V1_0" "SCRC_co" 10.639620975
"210" "observation" "V1_0" "SCRC_in" 10.7517491
"211" "opinion" "V1_0" "NoSC_co" 8.9739425
"212" "opinion" "V1_0" "NoSC_in" 8.9739425
"213" "opinion" "V1_0" "SC_co" 11.0989406
"214" "opinion" "V1_0" "SC_in" 11.072424825
"215" "opinion" "V1_0" "SCRC_co" 9.92535925
"216" "opinion" "V1_0" "SCRC_in" 10.072307125
"217" "perception" "V1_0" "NoSC_co" 10.9946891
"218" "perception" "V1_0" "NoSC_in" 10.9946891
"219" "perception" "V1_0" "SC_co" 10.721994025
"220" "perception" "V1_0" "SC_in" 10.5896086
"221" "perception" "V1_0" "SCRC_co" 10.238249425
"222" "perception" "V1_0" "SCRC_in" 10.165143175
"223" "prediction" "V1_0" "NoSC_co" 9.05635185
"224" "prediction" "V1_0" "NoSC_in" 9.05635185
"225" "prediction" "V1_0" "SC_co" 9.8143283
"226" "prediction" "V1_0" "SC_in" 9.80126885
"227" "prediction" "V1_0" "SCRC_co" 10.148707475
"228" "prediction" "V1_0" "SCRC_in" 10.066588625
"229" "presumption" "V1_0" "NoSC_co" 11.6777568
"230" "presumption" "V1_0" "NoSC_in" 11.6777568
"231" "presumption" "V1_0" "SC_co" 9.5091009
"232" "presumption" "V1_0" "SC_in" 9.63163545
"233" "presumption" "V1_0" "SCRC_co" 9.53338245
"234" "presumption" "V1_0" "SCRC_in" 9.721921925
"235" "proof" "V1_0" "NoSC_co" 9.5239277
"236" "proof" "V1_0" "NoSC_in" 9.5239277
"237" "proof" "V1_0" "SC_co" 10.199235625
"238" "proof" "V1_0" "SC_in" 10.11902145
"239" "proof" "V1_0" "SCRC_co" 10.164477825
"240" "proof" "V1_0" "SCRC_in" 10.20683165
"241" "realization" "V1_0" "NoSC_co" 12.203115725
"242" "realization" "V1_0" "NoSC_in" 12.203115725
"243" "realization" "V1_0" "SC_co" 11.029847975
"244" "realization" "V1_0" "SC_in" 11.0439124
"245" "realization" "V1_0" "SCRC_co" 10.34321295
"246" "realization" "V1_0" "SCRC_in" 10.528304075
"247" "recognition" "V1_0" "NoSC_co" 10.232774675
"248" "recognition" "V1_0" "NoSC_in" 10.232774675
"249" "recognition" "V1_0" "SC_co" 11.64185975
"250" "recognition" "V1_0" "SC_in" 11.65173555
"251" "recognition" "V1_0" "SCRC_co" 10.6116056
"252" "recognition" "V1_0" "SCRC_in" 10.619231375
"253" "remark" "V1_0" "NoSC_co" 7.506693775
"254" "remark" "V1_0" "NoSC_in" 7.506693775
"255" "remark" "V1_0" "SC_co" 10.309668
"256" "remark" "V1_0" "SC_in" 10.190221225
"257" "remark" "V1_0" "SCRC_co" 9.8965563
"258" "remark" "V1_0" "SCRC_in" 9.945583125
"259" "reminder" "V1_0" "NoSC_co" 10.517000625
"260" "reminder" "V1_0" "NoSC_in" 10.517000625
"261" "reminder" "V1_0" "SC_co" 12.389319225
"262" "reminder" "V1_0" "SC_in" 12.47787805
"263" "reminder" "V1_0" "SCRC_co" 11.1317844
"264" "reminder" "V1_0" "SCRC_in" 10.986973375
"265" "report" "V1_0" "NoSC_co" 8.803283175
"266" "report" "V1_0" "NoSC_in" 8.803283175
"267" "report" "V1_0" "SC_co" 10.352074175
"268" "report" "V1_0" "SC_in" 10.42267215
"269" "report" "V1_0" "SCRC_co" 10.5725497
"270" "report" "V1_0" "SCRC_in" 10.42518355
"271" "revelation" "V1_0" "NoSC_co" 9.099728525
"272" "revelation" "V1_0" "NoSC_in" 9.099728525
"273" "revelation" "V1_0" "SC_co" 10.3512704
"274" "revelation" "V1_0" "SC_in" 10.55993085
"275" "revelation" "V1_0" "SCRC_co" 10.21633475
"276" "revelation" "V1_0" "SCRC_in" 10.352051275
"277" "rumor" "V1_0" "NoSC_co" 7.376171525
"278" "rumor" "V1_0" "NoSC_in" 7.376171525
"279" "rumor" "V1_0" "SC_co" 9.28415355
"280" "rumor" "V1_0" "SC_in" 9.623611725
"281" "rumor" "V1_0" "SCRC_co" 9.594458175
"282" "rumor" "V1_0" "SCRC_in" 9.7667676
"283" "sense" "V1_0" "NoSC_co" 13.375952475
