"ID"	"Noun"	"Region"	"Condition"	"predictability_weight"	"deletion_rate"	"Surprisal"	"ThatFraction"
"159"	6052245	"presumption"	"V1"	"g"	0	0.55	28.1628789901733	0.0138888888888889
"160"	6052245	"presumption"	"V1"	"u"	0	0.55	29.9133810997009	0.28125
"161"	6052245	"presumption"	"V2"	"g"	0	0.55	22.408673286438	0.420138888888889
"162"	6052245	"presumption"	"V2"	"u"	0	0.55	0	0
"163"	6052245	"proof"	"EOS"	"g"	0	0.55	3.76519107818604	0.0277777777777778
"164"	6052245	"proof"	"EOS"	"u"	0	0.55	4.45966005325317	0.333333333333333
"165"	6052245	"proof"	"V1"	"g"	0	0.55	29.0685615539551	0.107638888888889
"166"	6052245	"proof"	"V1"	"u"	0	0.55	28.8654561042786	0.208333333333333
"167"	6052245	"proof"	"V2"	"g"	0	0.55	22.6073169708252	0.149305555555556
"168"	6052245	"proof"	"V2"	"u"	0	0.55	0	0
"169"	6052245	"realization"	"EOS"	"g"	0	0.55	3.7072696685791	0.190972222222222
"170"	6052245	"realization"	"EOS"	"u"	0	0.55	5.48044776916504	0.652777777777778
"171"	6052245	"realization"	"V1"	"g"	0	0.55	27.540111541748	0.458333333333333
"172"	6052245	"realization"	"V1"	"u"	0	0.55	28.4506802558899	0.440972222222222
"173"	6052245	"realization"	"V2"	"g"	0	0.55	21.1572360992432	0.378472222222222
"174"	6052245	"realization"	"V2"	"u"	0	0.55	0	0
"175"	6052245	"remark"	"EOS"	"g"	0	0.55	3.40454649925232	0.104166666666667
"176"	6052245	"remark"	"EOS"	"u"	0	0.55	5.03056764602661	0.461805555555556
"177"	6052245	"remark"	"V1"	"g"	0	0.55	27.6458263397217	0.295138888888889
"178"	6052245	"remark"	"V1"	"u"	0	0.55	27.2972388267517	0.322916666666667
"179"	6052245	"remark"	"V2"	"g"	0	0.55	22.0148854255676	0.378472222222222
"180"	6052245	"remark"	"V2"	"u"	0	0.55	0	0
"181"	6052245	"reminder"	"EOS"	"g"	0	0.55	3.47012948989868	0.0416666666666667
"182"	6052245	"reminder"	"EOS"	"u"	0	0.55	3.90362930297852	0.295138888888889
"183"	6052245	"reminder"	"V1"	"g"	0	0.55	27.6370882987976	0.263888888888889
"184"	6052245	"reminder"	"V1"	"u"	0	0.55	28.7542495727539	0.0972222222222222
"185"	6052245	"reminder"	"V2"	"g"	0	0.55	20.9443292617798	0.326388888888889
"186"	6052245	"reminder"	"V2"	"u"	0	0.55	0	0
"187"	6052245	"report"	"EOS"	"g"	0	0.55	3.9498815536499	0.0208333333333333
"188"	6052245	"report"	"EOS"	"u"	0	0.55	5.20202445983887	0.15625
"189"	6052245	"report"	"V1"	"g"	0	0.55	27.2602090835571	0.118055555555556
"190"	6052245	"report"	"V1"	"u"	0	0.55	29.4652681350708	0.211805555555556
"191"	6052245	"report"	"V2"	"g"	0	0.55	21.5703067779541	0.354166666666667
"192"	6052245	"report"	"V2"	"u"	0	0.55	0	0
"193"	6052245	"revelation"	"EOS"	"g"	0	0.55	3.252934217453	0.0729166666666667
"194"	6052245	"revelation"	"EOS"	"u"	0	0.55	3.99726366996765	0.399305555555556
"195"	6052245	"revelation"	"V1"	"g"	0	0.55	27.6937828063965	0.0729166666666667
"196"	6052245	"revelation"	"V1"	"u"	0	0.55	29.2870597839355	0.319444444444444
"197"	6052245	"revelation"	"V2"	"g"	0	0.55	22.9153347015381	0.291666666666667
"198"	6052245	"revelation"	"V2"	"u"	0	0.55	0	0
"199"	6052245	"rumor"	"EOS"	"g"	0	0.55	3.67735290527344	0.0208333333333333
"200"	6052245	"rumor"	"EOS"	"u"	0	0.55	4.6284031867981	0.190972222222222
"201"	6052245	"rumor"	"V1"	"g"	0	0.55	29.0677981376648	0.111111111111111
"202"	6052245	"rumor"	"V1"	"u"	0	0.55	31.2102584838867	0.190972222222222
"203"	6052245	"rumor"	"V2"	"g"	0	0.55	22.5056104660034	0.184027777777778
"204"	6052245	"rumor"	"V2"	"u"	0	0.55	0	0
"205"	6052245	"speculation"	"EOS"	"g"	0	0.55	4.08708000183105	0.225694444444444
"206"	6052245	"speculation"	"EOS"	"u"	0	0.55	5.72824382781982	0.607638888888889
"207"	6052245	"speculation"	"V1"	"g"	0	0.55	27.4565086364746	0.548611111111111
"208"	6052245	"speculation"	"V1"	"u"	0	0.55	29.9517269134521	0.423611111111111
"209"	6052245	"speculation"	"V2"	"g"	0	0.55	21.5780048370361	0.395833333333333
"210"	6052245	"speculation"	"V2"	"u"	0	0.55	0	0
"211"	6052245	"statement"	"EOS"	"g"	0	0.55	3.90004730224609	0.0243055555555556
"212"	6052245	"statement"	"EOS"	"u"	0	0.55	5.02238750457764	0.125
"213"	6052245	"statement"	"V1"	"g"	0	0.55	27.2313098907471	0.288194444444444
"214"	6052245	"statement"	"V1"	"u"	0	0.55	29.7086896896362	0.225694444444444
