Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
statement	V2_0	sing	13.580503463745117	0.03819444444444445	300321542	0.0	0.65	516252642	27553360
statement	V2_1	sing	11.110774040222168	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
thought	V2_0	plur	13.462057113647461	0.1736111111111111	300321542	0.0	0.65	516252642	27553360
thought	V2_1	plur	9.715240478515625	0.24305555555555555	300321542	0.0	0.65	516252642	27553360
thought	V2_0	sing	14.231925010681152	0.2048611111111111	300321542	0.0	0.65	516252642	27553360
thought	V2_1	sing	9.896315574645996	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
conviction	V2_0	plur	12.843381881713867	0.1111111111111111	300321542	0.0	0.65	516252642	27553360
conviction	V2_1	plur	10.613834381103516	0.1284722222222222	300321542	0.0	0.65	516252642	27553360
conviction	V2_0	sing	13.406256675720215	0.1284722222222222	300321542	0.0	0.65	516252642	27553360
conviction	V2_1	sing	10.617815971374512	0.0625	300321542	0.0	0.65	516252642	27553360
conjecture	V2_0	plur	12.724536895751953	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
conjecture	V2_1	plur	11.101827621459961	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
conjecture	V2_0	sing	12.52342414855957	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
conjecture	V2_1	sing	11.15613079071045	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
feeling	V2_0	plur	12.565431594848633	0.052083333333333336	300321542	0.0	0.65	516252642	27553360
feeling	V2_1	plur	10.060077667236328	0.08680555555555555	300321542	0.0	0.65	516252642	27553360
feeling	V2_0	sing	12.062518119812012	0.06597222222222222	300321542	0.0	0.65	516252642	27553360
feeling	V2_1	sing	9.84282112121582	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
idea	V2_0	plur	14.098780632019043	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
idea	V2_1	plur	10.464360237121582	0.09722222222222222	300321542	0.0	0.65	516252642	27553360
idea	V2_0	sing	13.967517852783203	0.04513888888888889	300321542	0.0	0.65	516252642	27553360
idea	V2_1	sing	10.361166954040527	0.059027777777777776	300321542	0.0	0.65	516252642	27553360
claim	V2_0	plur	13.235477447509766	0.125	300321542	0.0	0.65	516252642	27553360
claim	V2_1	plur	10.55426025390625	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
claim	V2_0	sing	12.968173027038574	0.10069444444444445	300321542	0.0	0.65	516252642	27553360
claim	V2_1	sing	10.609020233154297	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
conclusion	V2_0	plur	12.610213279724121	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
conclusion	V2_1	plur	11.205222129821777	0.059027777777777776	300321542	0.0	0.65	516252642	27553360
conclusion	V2_0	sing	12.211433410644531	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
conclusion	V2_1	sing	10.436880111694336	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
view	V2_0	plur	12.763007164001465	0.08333333333333333	300321542	0.0	0.65	516252642	27553360
view	V2_1	plur	10.379568099975586	0.0763888888888889	300321542	0.0	0.65	516252642	27553360
view	V2_0	sing	12.753024101257324	0.05555555555555555	300321542	0.0	0.65	516252642	27553360
view	V2_1	sing	10.840449333190918	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
speculation	V2_0	plur	13.26606273651123	0.2673611111111111	300321542	0.0	0.65	516252642	27553360
speculation	V2_1	plur	11.814791679382324	0.3194444444444444	300321542	0.0	0.65	516252642	27553360
speculation	V2_0	sing	12.549761772155762	0.2881944444444444	300321542	0.0	0.65	516252642	27553360
speculation	V2_1	sing	11.005311965942383	0.1736111111111111	300321542	0.0	0.65	516252642	27553360
certainty	V2_0	plur	11.804407119750977	0.08333333333333333	300321542	0.0	0.65	516252642	27553360
certainty	V2_1	plur	10.47425365447998	0.1076388888888889	300321542	0.0	0.65	516252642	27553360
certainty	V2_0	sing	11.896456718444824	0.1076388888888889	300321542	0.0	0.65	516252642	27553360
certainty	V2_1	sing	10.088724136352539	0.08680555555555555	300321542	0.0	0.65	516252642	27553360
suggestion	V2_0	plur	12.804784774780273	0.18055555555555555	300321542	0.0	0.65	516252642	27553360
suggestion	V2_1	plur	10.805736541748047	0.2673611111111111	300321542	0.0	0.65	516252642	27553360
suggestion	V2_0	sing	12.498636245727539	0.2152777777777778	300321542	0.0	0.65	516252642	27553360
suggestion	V2_1	sing	10.737997055053711	0.15625	300321542	0.0	0.65	516252642	27553360
perception	V2_0	plur	12.392522811889648	0.06597222222222222	300321542	0.0	0.65	516252642	27553360
perception	V2_1	plur	9.875654220581055	0.1597222222222222	300321542	0.0	0.65	516252642	27553360
