Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
speculation	V2_2	SC_incompatible	7.390033721923828	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V1_0	SC_incompatible	15.30010986328125	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_0	SCRC_compatible	13.326659202575684	1.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_1	SCRC_compatible	3.1089181900024414	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_2	SCRC_compatible	9.31883430480957	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V1_0	SCRC_compatible	15.266258239746094	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_0	SCRC_incompatible	10.287492752075195	1.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_1	SCRC_incompatible	3.647144317626953	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_2	SCRC_incompatible	7.498414516448975	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V1_0	SCRC_incompatible	15.589262008666992	0.0	647540577	0.75	0.3	516252642	27553360
message	V2_0	SC_compatible	13.360865592956543	1.0	647540577	0.75	0.3	516252642	27553360
message	V2_1	SC_compatible	2.2042133808135986	0.0	647540577	0.75	0.3	516252642	27553360
message	V2_2	SC_compatible	9.54432201385498	0.0	647540577	0.75	0.3	516252642	27553360
message	V1_0	SC_compatible	13.897216796875	0.0	647540577	0.75	0.3	516252642	27553360
message	V1_0	NoSC_incompatible	13.448516845703125	NA	647540577	0.75	0.3	516252642	27553360
message	V2_0	SC_incompatible	7.367173194885254	1.0	647540577	0.75	0.3	516252642	27553360
message	V2_1	SC_incompatible	2.6715550422668457	0.0	647540577	0.75	0.3	516252642	27553360
message	V2_2	SC_incompatible	7.379884243011475	0.0	647540577	0.75	0.3	516252642	27553360
message	V1_0	SC_incompatible	14.331787109375	0.0	647540577	0.75	0.3	516252642	27553360
message	V2_0	SCRC_compatible	13.631011009216309	1.0	647540577	0.75	0.3	516252642	27553360
