Noun	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	Script	ID	predictability_weight	deletion_rate	autoencoder	lm
declaration	V1_0	SCRC_incompatible	10.159201894981274	9.272400458653768	0.9177737541604734	0.9179386923433808	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
guess	V1_0	SC_compatible	9.238795660544133	8.418678625770237	0.3902475852249325	0.4717644095096899	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
guess	V1_0	NoSC_incompatible	7.948600067608599	7.938455536745597	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
guess	V1_0	SC_incompatible	9.465897929841194	8.493219980295153	0.412288648818714	0.5164388074823048	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
guess	V1_0	SCRC_compatible	10.26179952206819	9.601207176844278	0.8843095873523018	0.8923949095002119	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
guess	V1_0	SCRC_incompatible	10.434300885684248	9.545512330704842	0.9075080587704113	0.914032986090667	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conclusion	V1_0	SC_compatible	9.043187210525291	8.208655519761901	0.4422302756026603	0.653937760848498	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conclusion	V1_0	NoSC_incompatible	7.987855040508768	7.984639153964277	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conclusion	V1_0	SC_incompatible	9.254936467046322	8.103660742441813	0.4838969421343527	0.7676632086867872	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conclusion	V1_0	SCRC_compatible	10.012585335883541	9.38565815013388	0.8810889705664654	0.8792210946085633	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conclusion	V1_0	SCRC_incompatible	10.150137241335882	9.223257838815883	0.9063506459520347	0.9089022353724114	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
perception	V1_0	SC_compatible	9.414782358252484	8.462026616801387	0.5407608726966209	0.5354670293332227	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
perception	V1_0	NoSC_incompatible	9.629522323608398	9.629359556281049	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
perception	V1_0	SC_incompatible	9.210197994674461	8.004605479862379	0.5918377657299456	0.7964982945957909	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
perception	V1_0	SCRC_compatible	10.025817504827527	9.358937560648158	0.893317233717096	0.8936699504046228	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
perception	V1_0	SCRC_incompatible	10.154863132946733	9.260400868844295	0.9023248801088851	0.9038776102993786	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
feeling	V1_0	SC_compatible	9.155000662458116	8.560906783394191	0.4996980682447337	0.6763736495505208	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
feeling	V1_0	NoSC_incompatible	9.136923928191697	9.11956212486046	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
