{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.25, 'correlations': {'Model 1': -0.0258, 'Sanity 2': -0.4068, 'Model 2': -0.094}, 'id': '297711968', 'lr_mem': 5e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.1, 'correlations': {'Model 1': 0.2221, 'Sanity 2': -0.4471, 'Model 2': -0.0986}, 'id': '595646520', 'lr_mem': 1e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.4, 'correlations': {'Model 1': -0.1235, 'Sanity 2': -0.3681, 'Model 2': -0.1048}, 'id': '693049431', 'lr_mem': 5e-05, 'mom': 0.5}
{'iterations': '750000', 'pred_weight': 0.75, 'del_rate': 0.4, 'correlations': {'Model 1': -0.1153, 'Sanity 2': -0.3918, 'Model 2': -0.1072}, 'id': '435696503', 'lr_mem': 2e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.8, 'correlations': {'Model 1': 0.2969, 'Sanity 2': -0.6235, 'Model 2': -0.1167}, 'id': '81791747', 'lr_mem': 2e-06, 'mom': 0.9}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.1, 'correlations': {'Model 1': 0.0626, 'Sanity 2': -0.4633, 'Model 2': -0.1191}, 'id': '204566856', 'lr_mem': 2e-06, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.6, 'correlations': {'Model 1': 0.0154, 'Sanity 2': -0.4692, 'Model 2': -0.1276}, 'id': '745234144', 'lr_mem': 2e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.7, 'correlations': {'Model 1': -0.1963, 'Sanity 2': -0.5662, 'Model 2': -0.1301}, 'id': '733532014', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.3, 'correlations': {'Model 1': -0.2158, 'Sanity 2': -0.2413, 'Model 2': -0.1307}, 'id': '659554963', 'lr_mem': 5e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': -0.1095, 'Sanity 2': -0.4755, 'Model 2': -0.1321}, 'id': '393134479', 'lr_mem': 2e-06, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.2, 'correlations': {'Model 1': 0.1077, 'Sanity 2': -0.4837, 'Model 2': -0.1402}, 'id': '365795267', 'lr_mem': 2e-05, 'mom': 0.5}
{'iterations': '1650000', 'pred_weight': 0.75, 'del_rate': 0.55, 'correlations': {'Model 1': -0.3113, 'Sanity 2': -0.4802, 'Model 2': -0.1456}, 'id': '748632710', 'lr_mem': 5e-05, 'mom': 0.3}
{'iterations': '900000', 'pred_weight': 0.5, 'del_rate': 0.55, 'correlations': {'Model 1': 0.0564, 'Sanity 2': -0.4535, 'Model 2': -0.1487}, 'id': '558379626', 'lr_mem': 5e-05, 'mom': 0.7}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.2, 'correlations': {'Model 1': 0.143, 'Sanity 2': -0.4981, 'Model 2': -0.1496}, 'id': '863290043', 'lr_mem': 1e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.8, 'correlations': {'Model 1': -0.3866, 'Sanity 2': -0.6216, 'Model 2': -0.1538}, 'id': '305233843', 'lr_mem': 2e-06, 'mom': 0.9}
{'iterations': '3000000', 'pred_weight': 0.75, 'del_rate': 0.4, 'correlations': {'Model 1': 0.159, 'Sanity 2': -0.2239, 'Model 2': -0.156}, 'id': '212010146', 'lr_mem': 2e-06, 'mom': 0.9}
{'iterations': '150000', 'pred_weight': 0.25, 'del_rate': 0.35, 'correlations': {'Model 1': -0.1596, 'Sanity 2': -0.3322, 'Model 2': -0.1594}, 'id': '495898738', 'lr_mem': 5e-05, 'mom': 0.9}
{'iterations': '300000', 'pred_weight': 1.0, 'del_rate': 0.3, 'correlations': {'Model 1': -0.0099, 'Sanity 2': -0.3696, 'Model 2': -0.1611}, 'id': '756148222', 'lr_mem': 1e-05, 'mom': 0.0}
{'iterations': '250000', 'pred_weight': 0.75, 'del_rate': 0.4, 'correlations': {'Model 1': -0.2078, 'Sanity 2': -0.5315, 'Model 2': -0.1642}, 'id': '843000705', 'lr_mem': 2e-06, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.7, 'correlations': {'Model 1': -0.2125, 'Sanity 2': -0.662, 'Model 2': -0.1644}, 'id': '251345411', 'lr_mem': 2e-06, 'mom': 0.5}
