deletion_rate	predictability_weight	reward	predictability	reconstructability	args	suffix	autoencoder
0.5	1.0	8.8098	4.4049333911126105	1.5494654739382137	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	_J_3_W_GPT2M.py_936548541	524811876
0.4	1.0	8.7464	4.373185585285015	1.0517893894180386	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	_J_3_W_GPT2M.py_954662806	712478284
0.4	0.0	0.2283	5.0	0.22743126978586684	dual_learn_rate=0.01;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	_J_3_W_GPT2M.py_961536309	516252642
0.45	0.25	2.8	4.428466942216791	0.38928165962736305	dual_learn_rate=0.05;learn_rate_autoencoder=0.2;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2L.py_113455492	524811876
0.35	0.75	6.6072	4.319412548255808	0.26113729067333047	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2L.py_139088137	712478284
0.55	0.5	5.3201	4.461498615214326	0.8757112063727187	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2L.py_164077158	727001672
0.35	0.25	2.3827	4.359652923755243	0.13938263839746443	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.5	QC_3_W_GPT2L.py_182281643	516252642
0.35	0.25	2.2609	4.318470422558676	0.07161355199257455	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	x_QC_3_W_GPT2L.py_2364759	709961927
0.4	1.0	8.7046	4.356787793367025	1.1652554256982188	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.9	QC_3_W_GPT2L.py_319574650	712478284
0.55	1.0	8.858	4.4250811376160355	1.9540257035743682	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2L.py_334841046	727001672
0.4	0.5	4.6743	4.350616737259566	0.3263477065133139	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2L.py_360804550	524811876
0.5	0.75	7.0247	4.379277047666253	0.9177331350641791	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2L.py_406705276	727001672
0.4	0.25	2.5234	4.343733463378278	0.23425464860244521	dual_learn_rate=0.2;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.9	QC_3_W_GPT2L.py_413400057	524811876
0.5	1.0	8.9424	4.471287337875719	1.4273405248139825	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2L.py_575057157	712478284
0.45	1.0	8.7316	4.366056277205639	1.343823770121494	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2L.py_736237107	712478284
0.55	0.0	0.866	5.0	0.8638181744011711	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	_QC_3_W_GPT2L.py_74858729	524811876
0.6	0.75	7.4804	4.452170551867869	1.5935890360329144	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2L.py_751784117	727001672
0.45	0.25	2.8381	4.430535284552607	0.41707034867911696	dual_learn_rate=0.01;learn_rate_autoencoder=0.001;learn_rate_memory=2e-05;mom=0.5	QC_3_W_GPT2L.py_839962200	516252642
0.35	0.25	2.2294	4.3166937053720575	0.04905408419141654	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.9	QC_3_W_GPT2L.py_842160542	647336050
0.45	0.0	0.2122	5.0	0.2046234358342769	dual_learn_rate=0.1;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2L.py_964740578	647336050
0.5	0.5	5.0602	4.3844696607681115	0.6568649000104166	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2M.py_118571863	709961927
0.4	0.0	0.1046	5.0	0.10675227778079238	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_126537942	712478284
0.6	0.0	0.9623	5.0	0.9628777603658212	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_127309482	524811876
0.4	0.25	2.3518	4.359454283117438	0.11565487565378046	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_133356200	727001672
0.4	0.75	6.7902	4.346106503683077	0.5447462423810828	dual_learn_rate=0.2;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.5	_QC_3_W_GPT2M.py_13336920	709961927
0.35	1.0	8.6981	4.349050716598773	0.9348428980557317	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_145140803	647336050
0.35	0.25	2.2558	4.317885258931512	0.06620021045737118	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_147239155	727001672
0.45	0.5	4.6015	4.362679192560347	0.22981643843865832	dual_learn_rate=0.01;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.9	_QC_3_W_GPT2M.py_16281841	647336050
0.55	0.75	7.2588	4.42489522972357	1.2367044915620466	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2M.py_193374069	516252642
0.4	0.25	2.3381	4.347569580389929	0.10830227093967519	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_196977188	727001672
0.45	1.0	8.7612	4.380571588667669	1.3245965533482833	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_205123687	712478284
0.4	1.0	8.7167	4.359440124856631	1.1446999056618414	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_208852386	524811876
