predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0	0.15	7271	91810.6	3.87456	-0.1391301	0.7178046	
0	0.75	7271	91817.62	5.012362	-1.363732	1.823673	
0.5	0.95	7271	91804.36	4.553099	-0.506971	2.754961	
0.25	0.95	7271	91803.45	4.182912	-2.292659	2.677603	
0.5	0.7	7271	91790.94	5.233474	1.714276	0.8162097	
0.5	0.1	7271	91809.99	3.728194	0.929394	-0.1152631	
1	0.05	7271	91807.17	3.614924	1.113191	1.493054	
0	0.95	7209	90694.11	3.575206	-2.410016	3.59452	
0.5	0.85	7271	91794.39	5.12836	-0.5307827	2.639163	
0.5	0.05	7271	91807.54	3.862619	-0.1591896	1.869029	
1	0.85	7271	91792.46	5.255654	-0.06918221	2.253339	
0.75	0.5	7271	91801.88	4.191359	1.365114	0.8484114	
0.5	0.15	7271	91807.49	3.648908	1.740056	-0.2359105	
0.25	0.8	7271	91793.48	4.931259	-1.124633	3.141978	
0.25	0.1	7271	91807.79	3.711882	1.635283	-0.8159608	
1	0.7	7263	91673.64	4.488877	1.158168	0.06552983	
0.75	0.95	7271	91803.82	3.975935	-2.224829	3.010773	
0.5	0.65	7271	91790.15	4.848266	2.173869	1.545787	
0.5	0.8	7271	91793.37	5.136133	1.0781	1.584345	
0.25	0.45	7271	91803.76	4.539209	-0.2541835	1.029584	
0	0.5	7271	91803.58	4.213701	-1.635422	2.506399	
0.75	0.8	7271	91796.26	5.073074	0.8518541	1.017376	
1	0.15	7271	91810.79	3.821482	0.05008363	0.62078	
1	0.95	7271	91802.79	4.878037	-1.673792	2.57692	
0.25	0.75	7271	91788.59	5.048162	-1.171906	3.424533	
0	0.9	7271	91822.81	2.274094	-0.3141626	2.616516	
1	0.45	7271	91808.55	4.081478	0.3588988	0.5306758	
0.5	0.9	7271	91792.41	5.692152	-0.5651215	2.226593	
0.25	0.3	7271	91810.75	3.865618	-0.2995158	-0.3675971	
0.75	0.85	7271	91795.62	4.927059	0.4580622	2.139795	
1	0.8	7271	91798.24	4.816773	0.1587722	1.63243	
0.75	0.6	7271	91800.73	4.451826	1.376154	0.7142483	
0	0.65	7271	91804.27	5.086809	-1.340666	1.777591	
0.25	0.5	7271	91799.01	4.830167	1.062261	0.2386079	
0.25	0.85	7271	91790.03	5.064123	-0.5849338	3.741314	
0.25	0.9	7271	91798.21	4.86624	-1.776395	2.778316	
0.25	0.4	7271	91810.33	3.978445	0.06599912	-0.008444782	
0.25	0.2	7271	91809.89	3.929466	-1.053275	0.04644917	
0	0.55	7271	91793.87	4.887199	-0.6971659	3.223626	
0	0.05	7271	91810.62	3.770828	-0.794258	-0.05898717	
0.75	0.75	7271	91796.99	4.970001	1.294752	0.6625266	
0.25	0.25	7271	91810.48	3.871169	-0.6428677	0.4505205	
0.25	0.65	7271	91795.96	5.074007	0.8507025	2.207203	
0.75	0.55	7271	91803.39	4.212668	1.054468	1.014344	
0	0.3	7271	91802.99	3.741889	-0.04255125	2.978874	
0.5	0.55	7271	91799.56	4.407787	0.487176	2.161812	
0.75	0.2	7271	91811.69	3.735909	0.2232602	0.2018167	
0.75	0.7	7271	91796.58	4.654746	1.455427	1.316505	
