predictability_weight	deletion_rate	NData	AIC	Coefficient	EIS1	EIS2	
0.25	0.7	7271	732.5835	0.004481224	-2.52437	-0.1092648	
0.25	0.6	7271	735.8022	0.004826333	-1.228398	-0.2952382	
0.75	0.05	7271	722.43	0.005022282	1.339147	0.3367411	
0.75	0.35	7271	726.7653	0.004520564	2.110862	-0.320366	
0	0.15	7271	727.5261	0.004742177	0.6982315	-1.043406	
0	0.75	7271	727.1682	0.00451826	-3.102957	-1.776018	
0.5	0.95	7271	732.7701	0.00386801	-1.476715	-1.160038	
0.25	0.95	7271	734.9597	0.004608363	-0.9829145	-1.294849	
0.5	0.7	7271	736.0543	0.00409342	-1.202829	-0.5024494	
0.5	0.1	7271	717.0419	0.00413206	2.753965	-0.6673408	
1	0.05	7271	712.005	0.003342694	3.537288	-0.3738298	
0	0.95	7209	733.9026	-0.001902659	-2.07502	-1.422121	
0.5	0.85	7271	736.0748	0.004954187	-1.130706	-0.1258779	
0.5	0.05	7271	720.3163	0.004902813	1.419741	-0.3362119	
1	0.85	7271	738.5401	0.003735868	-0.2371214	-0.2254462	
0.75	0.5	7271	730.4897	0.004536583	0.9761637	0.2038035	
0.5	0.15	7271	726.8212	0.004871857	0.5165402	-0.530724	
0.25	0.8	7271	735.6453	0.003781883	-1.894384	-0.7111363	
0.25	0.1	7271	719.4235	0.004941549	1.14417	0.01969669	
1	0.7	7263	735.0952	0.004433757	-0.3785996	-0.4760444	
0.75	0.95	7271	735.8033	0.003223547	-1.67549	-0.5340403	
0.5	0.65	7271	734.5453	0.004912214	-1.313744	0.2316929	
0.5	0.8	7271	734.9127	0.004372907	-1.338731	-0.4763322	
0.25	0.45	7271	732.0664	0.005440724	0.5368538	0.6221209	
0	0.5	7271	734.5656	0.005282802	-1.149683	-0.1464605	
0.75	0.8	7271	736.5057	0.003892065	-0.7305791	-0.276225	
1	0.15	7271	723.756	0.004101284	1.331606	-1.205706	
1	0.95	7271	736.3223	0.00454604	-0.7884974	-1.287044	
0.25	0.75	7271	736.5066	0.003284834	-2.060789	-1.058488	
0	0.9	7271	722.271	-0.004686516	-2.314315	-2.820862	
1	0.45	7271	731.5787	0.004988322	-0.613665	0.4944146	
0.5	0.9	7271	739.0209	0.004406829	-0.7742356	-0.06934517	
0.25	0.3	7271	729.2433	0.00515646	0.1210765	-0.9881223	
0.75	0.85	7271	736.93	0.004262861	-0.6762782	-0.4804448	
1	0.8	7271	735.3264	0.003978249	0.3232442	-1.310107	
0.75	0.6	7271	732.7445	0.004968477	0.1974408	0.2520651	
0	0.65	7271	733.6727	0.004845533	-0.9708008	-0.9338431	
0.25	0.5	7271	735.2805	0.005145333	-0.261327	0.06905454	
0.25	0.85	7271	735.7808	0.004794089	-1.408407	0.3204497	
0.25	0.9	7271	738.2164	0.004814746	-0.1403903	0.2429312	
0.25	0.4	7271	729.5446	0.005525699	1.387822	-0.1198711	
0.25	0.2	7271	730.3856	0.005268199	-0.6907716	-0.8470247	
0	0.55	7271	735.525	0.006023812	-0.208549	-0.3996104	
0	0.05	7271	723.8829	0.004920029	0.3252624	0.4349789	
0.75	0.75	7271	732.5175	0.004334873	-1.212471	0.9604802	
0.25	0.25	7271	728.4059	0.005091827	-0.1195105	-1.198587	
0.25	0.65	7271	734.2202	0.005778545	-1.338177	0.4943452	
0.75	0.55	7271	730.3718	0.004657187	0.7888638	0.6922295	
0	0.3	7271	732.009	0.005512737	0.6208896	0.01719957	
0.5	0.55	7271	732.9156	0.005594744	-0.8587142	-0.008423962	
0.75	0.2	7271	715.2787	0.004176145	2.854586	-1.651156	
0.75	0.7	7271	734.1911	0.004592184	-0.9253538	-0.005707336	
